year,locality_id,pland_00_water,pland_03_deciduous_needleleaf,pland_04_deciduous_broadleaf,pland_05_mixed_forest,pland_08_woody_savanna,pland_09_savanna,pland_10_grassland,pland_11_wetland,pland_12_cropland,pland_13_urban,pland_14_mosiac,pland_15_barren,id,elevation_median,elevation_sd
2016,L1911718,0,0,0.1935483870967742,0,0.1935483870967742,0.41935483870967744,0,0,0.12903225806451613,0,0.06451612903225806,0,2989,186.877666126598,14.323941490655153
2016,L746059,0,0,0.5862068965517241,0,0,0.3448275862068966,0,0,0,0.06896551724137931,0,0,2491,205.45251634385852,13.573096441290103
2016,L11678489,0,0,0.5,0,0,0.36666666666666664,0,0,0,0.13333333333333333,0,0,2492,213.65266141024503,11.88147214811454
2016,L560829,0,0,0.03333333333333333,0,0,0.43333333333333335,0.26666666666666666,0,0.03333333333333333,0.23333333333333334,0,0,368,258.99480056762695,4.077266966556825
2016,L4574443,0,0,0.45161290322580644,0,0,0.3548387096774194,0,0,0,0.1935483870967742,0,0,2992,211.65901947021484,12.051178141130746
2016,L1512357,0,0,0.2903225806451613,0,0.0967741935483871,0.3225806451612903,0.06451612903225806,0.0967741935483871,0.03225806451612903,0.0967741935483871,0,0,2997,172.89886305067273,14.018443032656482
2016,L746017,0,0,0.59375,0,0,0.09375,0,0,0,0.3125,0,0,405,214.5061659379439,5.424802080901687
2016,L558320,0,0,0.1,0,0,0.4,0.26666666666666666,0.2,0,0.03333333333333333,0,0,743,219.3006730513139,3.3992272534615204
2016,L4735485,0,0,0.3225806451612903,0,0.12903225806451613,0.12903225806451613,0,0,0.3548387096774194,0,0.06451612903225806,0,2999,237.07213338216147,4.599171268156848
2016,L4533247,0,0,0.1,0,0,0.26666666666666666,0.1,0,0,0.5333333333333333,0,0,3000,204.3824373881022,2.5235155442766977
2016,L559750,0,0,0.03125,0,0,0.3125,0.3125,0.09375,0.03125,0.21875,0,0,376,218.6589469909668,3.1551164033259576
2016,L984389,0,0,0.22580645161290322,0,0,0,0,0,0.6774193548387096,0,0.0967741935483871,0,997,218.93141451748934,5.57200689265338
2016,L4721114,0,0,0.06451612903225806,0,0,0.03225806451612903,0,0,0.5483870967741935,0,0.3548387096774194,0,3007,271.6526590983073,10.50554002442729
